order_id,payment_sequential,payment_type,payment_installments,payment_value
e1b4ee0e390fbac1dec439d72b45a115,1,credit_card,3,77.70
723e462ce1ee50e024887c0b403130f3,1,credit_card,1,13.80
c604ad5f1e0d0bcf9977cf46d1d72303,1,credit_card,1,31.00
f244841f5a461472de8de82f023b1371,1,credit_card,10,116.05
9d8065ae4c6f5725ee052d02ab00f64e,1,boleto,1,82.06
27a7ac440630f9de788e4d66e72c6424,1,credit_card,1,186.39
8e6df87600aae0285919b5529f7f0bfd,1,boleto,1,126.48
16b6123f7077419424bf89af74e2d054,1,credit_card,10,642.02
45da19cff07c4148ba32b1a6bb8d87c1,1,boleto,1,126.68
81c2a9cc7a5d970fa1cb04443002088b,1,boleto,1,73.03
cccb62677b6ed93ec68f4428a0ad81ee,1,credit_card,7,81.72
33c011fdacf02b14181fcd81f4b5ece0,1,credit_card,2,162.10
0cc14454cb400b7b154e0a45ffd5c2f9,1,credit_card,1,57.11
474c0bedc28c30c7568c589c047b75bb,1,credit_card,1,102.53
ca376f8f4042e61688af8cfd32d4e80e,1,credit_card,3,234.08
9b6a1b8bf017b64d6ff4d7fe7cd88f1f,1,credit_card,1,94.82
291036f4304c5fb0dc3965044f4a4605,1,credit_card,4,128.77
6eea8cd99d26a8bbdf39d5289e4e7601,1,credit_card,10,590.72
20b44662cba0e4e87a3d794343c1076c,1,credit_card,4,45.12
8bf6956999b0861c3191773f28806f40,1,boleto,1,99.90
264e91053cd726b067922356be6fd618,1,credit_card,2,1327.54
3cab5c70f370e7fa810658c551f8e2ce,1,credit_card,6,153.80
50aee6309ac7a0d4fd5c78ac0d4e5404,1,boleto,1,277.48
8a37cae0305cc1e69d6f5d0629719e9a,1,credit_card,2,73.27
a27e7bc82ceed97d792b678d7ca3e888,1,credit_card,1,58.59
518556dca9ef8c42a63ae02ced2a479b,1,credit_card,2,971.10
0a03b50bb658dc86547261ba8cd5676e,1,credit_card,2,197.72
0d5e27935dad336ff3d5962a73b30f2d,1,credit_card,5,56.94
3f24b1ee5184d84b2d4fe634755ab3f9,1,debit_card,1,39.56
4f1948db278b553e701c7930ee85cb8a,1,credit_card,2,105.52
b5b143bb15757cfbb8c5f447e4586940,1,credit_card,1,16.89
49db7943d60b6805c3a41f5474772a09,1,credit_card,3,125.94
cdc80ab03580d7d907ecd33ae7818caa,1,boleto,1,102.03
2187a89df025d844e72cfc51e29dcd6c,1,boleto,1,31.13
3fa59277573f0fe06ece044ebec2eb02,1,boleto,1,91.05
81d715926d69a15e7220e3e7092f6c4d,1,credit_card,8,315.89
973e2efa6a19ac5083691b9deb4c0a51,1,boleto,1,37.77
509952a95c250007c345b4b929663dc6,1,credit_card,6,136.91
3f70fa55743ebe05b4b94594c082dfc4,1,boleto,1,25.50
491a1961ff53513a57fa193570a11311,2,voucher,1,50.00
2fac55edfd9754d1a0e7ecc67d48d08d,3,voucher,1,80.47
4f9b8c1bedc66f4bd34725cfdee6833b,1,credit_card,1,151.58
dd1130c58ae85a282c4cd0cddaccd0ef,1,credit_card,4,208.77
2f5124f516a7f5e4095ef4325d67c511,1,boleto,1,135.46
4dfe2ddcd2de2e45fd88e8c6bae55901,1,credit_card,3,111.62
a45fc977eae1ef0ed4504f346d31a0fb,1,credit_card,3,34.78
88d8024d811be666f66e7199e27a830b,1,credit_card,4,48.81
9f9337d4e1debd68a43a89ee594a732c,1,credit_card,1,32.72
a622a08f7c22608bf1f2c546a830de74,1,credit_card,1,105.28
469872bf23abc5c0ce6db24fd6fec382,1,credit_card,2,99.90
eb0fec00c8cee7edcc91a031d939ac1a,1,voucher,1,29.86
7889e9a569a5488a0c9d93381a13d5ba,1,credit_card,8,196.41
9a92634d7c186b507d82bd00823929a2,1,voucher,1,67.29
d62cc2763a30054a5d55992b3c88d3d4,1,credit_card,6,183.73
5c7ec55f4ff082a66c4ed58a2634af16,1,boleto,1,42.33
2f6c001bbacba3575b0852b17b0c3dd1,1,credit_card,10,379.67
6bfb5b857e326522e7ad3d163ebeca12,1,credit_card,10,218.27
068d0d74dbf3b124a2b65bb2aad2387a,1,boleto,1,171.44
f2af7540e2b81731609d138b17191794,1,boleto,1,54.00
0c02a4cb5207e682d63a1343cbddd13b,1,credit_card,1,99.34
be315a78a8989c669993c22b50f3920c,1,credit_card,8,176.20
1ada38b97a26793e53c1205050892669,1,boleto,1,98.37
8440ebc9a2a4aaa712d4064c35e52995,1,credit_card,1,32.09
a8011c5b1b6536063a53c05cabf56bb0,1,credit_card,1,31.77
4baf4e226efff68fe5996f63da09745f,1,boleto,1,58.48
54b4da510fed5dc3cf3e7a8e50a5f224,1,credit_card,3,317.64
7535955a5fee70328e9fe079653e03f1,1,credit_card,1,209.67
a0fbae87b2c4f96a56e39ea7df0c1fd1,1,credit_card,6,173.82
feebdd36c3e19b95f31008e3e62dc32e,1,credit_card,4,200.88
219170fb08f8e9140c121645abb11cd0,2,voucher,1,26.36
912806f58b85a8b3b9a57757227c9a36,1,credit_card,1,258.90
684eb867dfdc67690e5160c9e1bca789,1,credit_card,4,92.50
5a872b37ac143343156a0dc43f1a19fc,1,boleto,1,89.63
92b16e4bf4524a212222c92e9114f55c,1,credit_card,1,49.00
