product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
f8f6fd145cc00519283cf3100477b2b3,esporte_lazer,47,956,1,1050,25,20,14
75b4372e69a42f8ae1d908c076f547b2,beleza_saude,22,1313,1,938,29,22,23
af16005fca813272caf59c432153949e,moveis_decoracao,55,1186,2,800,53,8,20
56139431d72cd51f19eb9f7dae4d1617,,,,,200,20,20,20
f9471562478eba8761bc985b968a0092,utilidades_domesticas,38,390,1,850,18,21,15
4473f3e5c65952b074ef987fa5c24662,telefonia,59,776,6,350,17,4,12
657491063e8a63247a108a4d9cedf020,brinquedos,25,274,1,3050,40,10,40
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45,1003,2,400,18,11,11
0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52,424,1,175,22,11,15
302a19dacdbb5ed2f74f9dee8126ef79,bebes,64,882,5,300,17,7,24
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39,772,1,150,16,16,11
3da6f3c6c1ac8c36ff45b1a493a44e82,moveis_decoracao,58,1969,2,3000,69,11,11
c04b8195870068ff5c495f269a0bc993,livros_tecnicos,54,1162,1,1100,29,3,21
bc4a074ab7a7ff14e98fa64671a79dc0,beleza_saude,21,1000,1,1450,25,25,16
c354569eefd558bf201d0aedf35608ed,cama_mesa_banho,55,166,1,700,49,4,50
22776ebd2bfdf5f55499fd324862a673,automotivo,42,878,2,500,20,8,14
06efa56b8557e1efcb2c107f55d1a8dd,ferramentas_jardim,60,481,4,600,19,7,14
0bb7cb61f1957f79dac582ab66ccdc1f,utilidades_domesticas,45,561,2,553,18,9,15
288d91794eb2b14fed9ed5e469cb87c3,cama_mesa_banho,52,701,1,1100,16,10,16
4c505e52bedf9651c08793647c925e65,cama_mesa_banho,58,744,1,350,16,10,16
28e410092e56a080e14595c053d0bbe8,perfumaria,45,416,1,200,16,16,16
590d6cb76092faa04d717fe406c66f88,esporte_lazer,46,254,1,2653,53,15,36
9d0a2db5144d569d5ce5375bb0f4de36,cama_mesa_banho,39,347,1,75,17,12,17
05d7deab2f99410d5fa21a75deaa1fad,fashion_bolsas_e_acessorios,52,1383,4,750,36,18,36
3931aaf38ba4cc928100541ff51b82ff,informatica_acessorios,45,554,3,400,16,4,16
2b27cb23faa03f71607fcdd1539387f3,malas_acessorios,59,857,7,1100,35,14,29
270c3d76b5efb36480487920cec3e167,eletrodomesticos,57,335,1,1250,22,11,20
fc37e09bb4dadd1eef5e92e954b1c72e,bebes,51,1243,2,500,30,6,23
0011c512eb256aa0dbbb544d8dffcf6e,automotivo,58,177,1,100,16,15,16
914a1be6110e7ce3289dbf55ec0d9704,cool_stuff,58,989,1,2050,42,25,15
ba3fea9ec13fb882dda6c9e4295d9130,relogios_presentes,55,266,3,667,20,17,18
121b9686b9929855d823981fc655a6fe,utilidades_domesticas,55,747,1,6250,53,23,28
0a2fff0d95ef3bbb7dffc618f9542ba9,relogios_presentes,26,567,1,283,18,12,13
d0f5d2822e06a19526cb384022af2a9a,moveis_decoracao,55,743,1,2200,34,8,22
95f2828625576b34ab861ef4b029a7fd,fashion_roupa_masculina,33,939,2,950,40,6,35
ca26080d8f0fa848c329fe732f5e34e8,,,,,1800,25,25,25
bae8ac5e125a98fe445bc17714104709,malas_acessorios,57,455,3,10700,40,100,16
4b232d5c1ec0ae0d9cc9529b97d75984,instrumentos_musicais,56,349,3,200,16,12,20
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33,523,3,584,16,11,13
1ac09f60f3c3bc2021c637ef23fa3248,brinquedos,31,735,3,600,20,20,20
036734b5a58d5d4f46b0616ddc047ced,telefonia,58,751,5,300,17,4,12
1860b96949f9ff0adcd5e2c340d32e12,automotivo,51,966,3,800,21,8,14
3ac52f93c2299daa201fbb7ff36546f7,informatica_acessorios,60,401,2,150,16,5,15
44dc6124432da8482da2977dbfa88f59,beleza_saude,59,1343,2,150,16,13,11
b15b38f8a24ce6254dfa5bc5a06f18c5,automotivo,50,214,4,1600,25,9,17
5a719c85a2cad2da6076ea511aa4023f,informatica_acessorios,60,1873,1,225,17,17,17
0751d46ff778c72973f67da627093303,relogios_presentes,57,623,2,317,18,13,14
9474f3c0da0c4fd0bdf88cf6ac1b5d04,moveis_decoracao,51,208,3,200,55,6,55
169837a0e2864f37482261c3d7a2dd80,beleza_saude,53,3826,2,350,20,20,20
ea44caac707f7f1325182a538007f838,bebes,59,809,5,6600,45,25,35
90f97298579cd20412fdcc9b7a2d4b6b,alimentos_bebidas,31,502,1,475,20,16,13
2ac7c9339ff85fff3e1aee3eaf7bb315,utilidades_domesticas,43,357,1,217,18,5,14
7dcc2e60786a27f4a3115fdf666b81fe,fashion_bolsas_e_acessorios,60,487,15,500,20,10,20
a4c27cf9767fe2b589251c764b891eda,perfumaria,58,1061,2,368,22,15,18
2012a57204f00f8fd57f8196130bee26,cama_mesa_banho,54,660,1,1050,35,3,30
c702ae743958a81cd230189d4e72674c,informatica_acessorios,41,344,2,183,23,14,14
7b85e3deef35afd6ebed5461ee8f0641,informatica_acessorios,56,617,1,1583,18,15,12
15d5088ad671c687e6ee89b9ba4e0766,eletroportateis,25,812,1,17325,35,40,40
